"Date","Market Cap"
"2004-05-11",38976700000
"2004-05-12",38857100000
"2004-05-13",37890100000
"2004-05-16",36120700000
"2004-05-17",36848400000
"2004-05-18",37690800000
"2004-05-19",37411600000
"2004-05-20",37810400000
"2004-05-23",37810400000
"2004-05-24",38453300000
"2004-05-25",39579800000
"2004-05-26",40387200000
"2004-05-27",40830800000
"2004-05-31",39983500000
"2004-06-01",39101300000
"2004-06-02",37411600000
"2004-06-03",37571100000
"2004-06-06",38976700000
"2004-06-07",38857100000
"2004-06-08",37167400000
"2004-06-09",36524400000
"2004-06-13",34715200000
"2004-06-14",35537600000
"2004-06-15",34161900000
"2004-06-16",33842900000
"2004-06-17",33932600000
"2004-06-20",33244800000.000004
"2004-06-21",34849700000
"2004-06-22",36225400000
"2004-06-23",35722000000
"2004-06-24",36549400000
"2004-06-27",35906400000
"2004-06-28",37326900000
"2004-06-29",38109400000
"2004-06-30",36454700000
"2004-07-01",35816700000
"2004-07-05",34391200000
"2004-07-06",35951300000
"2004-07-07",35537600000
"2004-07-08",35996100000
"2004-07-11",34804900000
"2004-07-12",34989300000
"2004-07-13",32831100000
"2004-07-14",32557000000
"2004-07-15",32143300000
"2004-07-18",31869200000
"2004-07-19",32557000000
"2004-07-20",32008700000
"2004-07-21",33060400000
"2004-07-22",30817500000
"2004-07-25",30448700000
"2004-07-26",31410600000
"2004-07-27",31046800000
"2004-07-28",32143300000
"2004-07-29",32651700000
"2004-08-01",32601900000
"2004-08-02",32557000000
"2004-08-03",32651700000
"2004-08-04",32651700000
"2004-08-05",31550200000
"2004-08-08",31639900000
"2004-08-09",32651700000
"2004-08-10",31824300000
"2004-08-11",31365800000
"2004-08-12",31505300000
"2004-08-15",32008700000
"2004-08-16",32008700000
"2004-08-17",33613699999.999996
"2004-08-18",33887800000.000004
"2004-08-19",34256600000
"2004-08-22",34620500000
"2004-08-23",34117100000
"2004-08-24",35218600000
"2004-08-25",35308300000
"2004-08-26",35263400000
"2004-08-29",34899600000
"2004-08-30",34670700000
"2004-08-31",34396200000
"2004-09-01",34900300000
"2004-09-02",32419600000
"2004-09-06",32649200000
"2004-09-07",32419600000
"2004-09-08",33662400000
"2004-09-09",35040100000
"2004-09-12",34995100000
"2004-09-13",34810500000
"2004-09-14",34076699999.999996
"2004-09-15",34076699999.999996
"2004-09-16",34625800000
"2004-09-19",35085000000
"2004-09-20",35589100000
"2004-09-21",34211500000
"2004-09-22",34765500000
"2004-09-23",33477699999.999996
"2004-09-26",32878800000.000004
"2004-09-27",32604200000
"2004-09-28",33018500000
"2004-09-29",32788900000
"2004-09-30",34441100000
"2004-10-03",35085000000
"2004-10-04",34535900000
"2004-10-05",34306300000.000004
"2004-10-06",33617500000
"2004-10-07",32374600000
"2004-10-10",32788900000
"2004-10-11",31685800000
"2004-10-12",31780600000
"2004-10-13",31640900000
"2004-10-14",31825600000
"2004-10-17",31960300000
"2004-10-18",32973600000
"2004-10-19",32833800000.000004
"2004-10-20",33707300000.000004
"2004-10-21",32329700000
"2004-10-24",32744000000
"2004-10-25",32469500000
"2004-10-26",33937000000
"2004-10-27",34166600000
"2004-10-28",34765500000
"2004-10-31",34950200000
"2004-11-01",36003400000
"2004-11-02",36737200000
"2004-11-03",37520800000
"2004-11-04",38025000000
"2004-11-07",37246300000
"2004-11-08",37106500000
"2004-11-09",36602400000
"2004-11-10",36647300000
"2004-11-11",37655600000
"2004-11-14",37426000000
"2004-11-15",37196400000
"2004-11-16",39492500000
"2004-11-17",40276100000
"2004-11-18",38758700000
"2004-11-21",37795400000
"2004-11-22",37565700000
"2004-11-23",37980000000
"2004-11-25",37426000000
"2004-11-28",37381100000
"2004-11-29",36602400000
"2004-11-30",37565700000
"2004-12-01",38114800000
"2004-12-02",38025000000
"2004-12-05",38439300000
"2004-12-06",37980000000
"2004-12-07",37196400000
"2004-12-08",36417700000
"2004-12-09",36143200000
"2004-12-12",36966800000
"2004-12-13",37246300000
"2004-12-14",37475900000
"2004-12-15",37655600000
"2004-12-16",37655600000
"2004-12-19",37246300000
"2004-12-20",37655600000
"2004-12-21",38025000000
"2004-12-22",38254600000
"2004-12-26",38114800000
"2004-12-27",38164700000
"2004-12-28",38803600000
"2004-12-29",38898500000
"2004-12-30",38988300000
"2005-01-02",38574000000
"2005-01-03",37106500000
"2005-01-04",36372800000
"2005-01-05",36048300000
"2005-01-06",36233000000
"2005-01-09",36327900000
"2005-01-10",35818700000
"2005-01-11",36098300000
"2005-01-12",35359500000
"2005-01-13",36327900000
"2005-01-17",37246300000
"2005-01-18",36327900000
"2005-01-19",36278000000
"2005-01-20",35958500000
"2005-01-23",35269700000
"2005-01-24",35868700000
"2005-01-25",36966800000
"2005-01-26",37520800000
"2005-01-27",37705500000
"2005-01-30",40181300000
"2005-01-31",40690400000
"2005-02-01",41329300000
"2005-02-02",40091400000
"2005-02-03",41469100000
"2005-02-06",41239500000
"2005-02-07",41608800000
"2005-02-08",41009900000
"2005-02-09",41284400000
"2005-02-10",42247700000
"2005-02-13",41883400000
"2005-02-14",42068000000
"2005-02-15",41973200000
"2005-02-16",40640500000
"2005-02-17",41194500000
"2005-02-21",40690400000
"2005-02-22",40870100000
"2005-02-23",41743600000
"2005-02-24",43305900000
"2005-02-27",41883400000
"2005-02-28",42297700000
"2005-03-01",41608800000
"2005-03-02",40870100000
"2005-03-03",40410900000
"2005-03-06",41743600000
"2005-03-07",40595600000
"2005-03-08",40640500000
"2005-03-09",40276100000
"2005-03-10",40136400000
"2005-03-13",39402600000
"2005-03-14",39033200000
"2005-03-15",39312800000
"2005-03-16",39447500000
"2005-03-17",39083200000
"2005-03-20",38803600000
"2005-03-21",38025000000
"2005-03-22",38069900000
"2005-03-23",38484200000
"2005-03-27",38803600000
"2005-03-28",37885200000
"2005-03-29",38439300000
"2005-03-30",38943400000
"2005-03-31",39312800000
"2005-04-03",38713800000
"2005-04-04",38803600000
"2005-04-05",38623900000
"2005-04-06",38898500000
"2005-04-07",39632200000
"2005-04-10",39492500000
"2005-04-11",39542400000
"2005-04-12",39128100000
"2005-04-13",38209600000
"2005-04-14",37610700000
"2005-04-17",37246300000
"2005-04-18",37565700000
"2005-04-19",37061600000
"2005-04-20",37840300000
"2005-04-21",37196400000
"2005-04-24",37475900000
"2005-04-25",39357700000
"2005-04-26",39312800000
"2005-04-27",39083200000
"2005-04-28",39542400000
"2005-05-01",40001600000
"2005-05-02",39722100000
"2005-05-03",40825200000
"2005-05-04",42225700000
"2005-05-05",41947700000
"2005-05-08",42084200000
"2005-05-09",40972200000
"2005-05-10",40689100000
"2005-05-11",40552600000
"2005-05-12",41947700000
"2005-05-15",41619100000
"2005-05-16",41573600000
"2005-05-17",41993200000
"2005-05-18",43155700000
"2005-05-19",43246700000
"2005-05-22",42645200000
"2005-05-23",43155700000
"2005-05-24",42503700000
"2005-05-25",42736200000
"2005-05-26",42832200000
"2005-05-30",42832200000
"2005-05-31",43246700000
"2005-06-01",44131200000
"2005-06-02",44318300000
"2005-06-05",44970300000
"2005-06-06",44550800000
"2005-06-07",44692300000
"2005-06-08",45339300000
"2005-06-09",45106800000
"2005-06-12",43944200000
"2005-06-13",43898700000
"2005-06-14",43752200000
"2005-06-15",44530600000
"2005-06-16",44823700000
"2005-06-19",45116900000
"2005-06-20",44970300000
"2005-06-21",45945800000
"2005-06-22",46046900000
"2005-06-23",45753800000
"2005-06-26",45167400000
"2005-06-27",45167400000
"2005-06-28",44581100000
"2005-06-29",44530600000
"2005-06-30",44823700000
"2005-07-04",43797600000
"2005-07-05",43797600000
"2005-07-06",42923200000
"2005-07-07",43459000000
"2005-07-10",44823700000
"2005-07-11",45900300000
"2005-07-12",45314000000
"2005-07-13",45799200000
"2005-07-14",45703200000
"2005-07-17",45020800000
"2005-07-18",45410000000
"2005-07-19",45799200000
"2005-07-20",45511100000
"2005-07-21",44970300000
"2005-07-24",43994800000
"2005-07-25",42432900000
"2005-07-26",41942600000
"2005-07-27",42336900000
"2005-07-28",41942600000
"2005-07-31",42089200000
"2005-08-01",43408400000
"2005-08-02",43605600000
"2005-08-03",42235800000
"2005-08-04",41796000000
"2005-08-07",41553400000
"2005-08-08",41897100000
"2005-08-09",42235800000
"2005-08-10",42190300000
"2005-08-11",41993200000
"2005-08-14",41604000000
"2005-08-15",40871100000
"2005-08-16",41310800000
"2005-08-17",40234200000
"2005-08-18",40871100000
"2005-08-21",41164200000
"2005-08-22",40871100000
"2005-08-23",40087600000
"2005-08-24",40188700000
"2005-08-25",40527400000
"2005-08-28",40234200000
"2005-08-29",39895500000
"2005-08-30",40188700000
"2005-08-31",40188700000
"2005-09-01",40335300000
"2005-09-05",40335300000
"2005-09-06",39501300000
"2005-09-07",40188700000
"2005-09-08",40820500000
"2005-09-11",41017600000
"2005-09-12",41457400000
"2005-09-13",41310800000
"2005-09-14",41356300000
"2005-09-15",40284700000
"2005-09-18",40577900000
"2005-09-19",40335300000
"2005-09-20",39749000000
"2005-09-21",38768400000
"2005-09-22",38965500000
"2005-09-25",39061500000
"2005-09-26",38475200000
"2005-09-27",38086000000
"2005-09-28",39309200000
"2005-09-29",40138200000
"2005-10-02",40481900000
"2005-10-03",41017600000
"2005-10-04",40673900000
"2005-10-05",40481900000
"2005-10-06",41113700000
"2005-10-09",40335300000
"2005-10-10",39698400000
"2005-10-11",39258700000
"2005-10-12",39258700000
"2005-10-13",38722900000
"2005-10-16",38768400000
"2005-10-17",38621800000
"2005-10-18",38182000000
"2005-10-19",37307600000
"2005-10-20",38086000000
"2005-10-23",38869500000
"2005-10-24",38429700000
"2005-10-25",37792800000
"2005-10-26",37792800000
"2005-10-27",39016000000
"2005-10-30",39455800000
"2005-10-31",39309200000
"2005-11-01",41017600000
"2005-11-02",41649500000
"2005-11-03",41846600000
"2005-11-06",41993200000
"2005-11-07",42139800000
"2005-11-08",43357900000
"2005-11-09",43312400000
