Date,Open,High,Low,Close,% Change,Volume
6/2007,22.34,24.45,21.29,23.74,0.0703,1332613900
5/2007,21.56,23.14,21.45,22.18,0.0316,1282004400
4/2007,19.15,22.30,19.03,21.50,0.12390000000000001,1477884000
3/2007,19.52,19.80,18.75,19.13,-0.0368,1380681800
2/2007,20.98,21.67,19.80,19.86,-0.0525,1175995900
1/2007,20.45,22.30,20.14,20.96,0.0351,1614851100
12/2006,21.32,21.45,20.03,20.25,-0.0535,909179000
11/2006,21.37,22.50,20.32,21.40,0.0026,1182225800
10/2006,20.56,22.03,20.17,21.34,0.0374,1587909000
9/2006,19.90,20.95,19.03,20.57,0.051100000000000007,1396655300
8/2006,17.89,20.00,17.22,19.57,0.0872,1287884000
7/2006,19.27,19.39,16.84,18.00,-0.0526,1271383700
6/2006,18.05,19.36,16.75,19.00,0.054400000000000004,1609055300
5/2006,20.01,21.00,17.74,18.02,-0.0981,1676106300
4/2006,19.64,20.27,18.60,19.98,0.026699999999999998,1498496500
3/2006,20.75,21.00,19.31,19.46,-0.0553,1935500400
2/2006,21.24,21.68,19.88,20.60,-0.0308,1590202000
1/2006,25.20,26.63,21.10,21.26,-0.1484,1852525400
12/2005,26.94,27.49,24.87,24.96,-0.0645,1104580800
11/2005,23.18,27.15,22.53,26.68,0.1353,1130819800
10/2005,24.74,24.96,22.75,23.50,-0.0467,1165374500
9/2005,25.58,26.12,23.80,24.65,-0.0416,1085852500
8/2005,27.26,27.66,25.31,25.72,-0.052300000000000006,994634900
7/2005,26.21,28.84,26.08,27.14,0.043,1067827200
6/2005,26.80,28.00,25.73,26.02,-0.0349,1169082600
5/2005,23.50,27.40,23.35,26.96,0.1463,1293616200
4/2005,23.34,23.90,21.94,23.52,0.0125,1365595400
3/2005,24.35,25.47,22.96,23.23,-0.0317,1362583000
2/2005,22.49,24.63,22.17,23.99,0.06860000000000001,1420647100
1/2005,23.64,23.79,21.89,22.45,-0.04019999999999999,1589091300
12/2004,22.51,24.50,22.44,23.39,0.0451,1490134800
11/2004,22.19,24.99,22.15,22.38,0.0054,1424847200
10/2004,20.31,22.61,20.22,22.26,0.1097,1523801700
9/2004,21.10,21.72,19.64,20.06,-0.057800000000000004,1564929800
8/2004,24.04,24.99,20.86,21.29,-0.1267,1268945500
7/2004,27.40,27.48,22.46,24.38,-0.1167,1685420600
6/2004,28.38,29.01,27.13,27.60,-0.0333,1025083900
5/2004,26.05,28.98,25.61,28.55,0.1096,1195945600
4/2004,27.37,28.56,25.72,25.73,-0.054000000000000006,1377614900
3/2004,29.01,30.14,26.03,27.20,-0.06849999999999999,1699989600
2/2004,30.88,31.43,28.65,29.20,-0.0433,1096668000
1/2004,32.36,34.60,30.35,30.52,-0.04769999999999999,1125545500
12/2003,33.82,34.40,29.66,32.05,-0.0444,1082622400
11/2003,33.33,34.51,31.66,33.54,0.0179,904543000
10/2003,27.82,33.28,27.81,32.95,0.1973,1220535000
9/2003,28.77,29.38,27.22,27.52,-0.0374,1165832900
8/2003,24.78,29.04,23.33,28.59,0.1487,1148633000
7/2003,20.87,25.50,20.51,24.89,0.1961,1431224400
6/2003,21.00,22.92,19.99,20.81,-0.0005,1356186800
5/2003,18.37,21.01,18.30,20.82,0.1334,1286127600
4/2003,16.38,19.56,16.28,18.37,0.1284,1222054300
3/2003,17.13,19.01,15.59,16.28,-0.056799999999999996,1292712700
2/2003,15.65,17.29,14.88,17.26,0.09939999999999999,972981900
1/2003,16.02,18.01,15.14,15.70,0.0083,1296861600
12/2002,21.88,22.09,15.42,15.57,-0.25429999999999997,1176184400
11/2002,17.10,21.30,16.91,20.88,0.20620000000000002,1250526600
10/2002,14.05,17.51,12.95,17.31,0.2462,1881026700
9/2002,16.47,17.04,13.67,13.89,-0.1668,1253168200
8/2002,18.72,19.67,15.82,16.67,-0.1128,1182004600
7/2002,18.35,19.88,16.26,18.79,0.0285,1507029200
6/2002,27.43,28.20,17.45,18.27,-0.3385,1334010600
5/2002,28.57,31.36,25.56,27.62,-0.0346,976795600
4/2002,31.45,31.45,27.51,28.61,-0.0592,977552800
3/2002,29.09,34.25,29.00,30.41,0.06509999999999999,923979300
2/2002,35.07,35.07,28.50,28.55,-0.1852,958632000
1/2002,31.90,36.78,31.56,35.04,0.11410000000000001,1104847100
12/2001,32.88,34.85,31.41,31.45,-0.037000000000000005,851932500
11/2001,24.53,32.99,24.25,32.66,0.33740000000000003,1113379500
10/2001,20.21,26.50,19.08,24.42,0.19469999999999998,1237428800
9/2001,27.56,28.09,18.96,20.44,-0.26899999999999996,1066764600
