"Date","Market Cap"
"2000-02-10",6723500000
"2000-02-13",6391000000
"2000-02-14",6428000000
"2000-02-15",6464900000
"2000-02-16",6354100000
"2000-02-17",6354100000
"2000-02-21",6178300000
"2000-02-22",6067400000
"2000-02-23",6289100000
"2000-02-24",5984700000
"2000-02-27",5578300000
"2000-02-28",5836900000
"2000-02-29",5984700000
"2000-03-01",5800000000
"2000-03-02",6132400000
"2000-03-05",7019100000
"2000-03-06",8127300000
"2000-03-07",7905700000
"2000-03-08",8589900000
"2000-03-09",7684000000
"2000-03-12",7610100000
"2000-03-13",7092900000
"2000-03-14",7277700000
"2000-03-15",7268800000
"2000-03-16",7388500000
"2000-03-19",7942600000
"2000-03-20",8331500000
"2000-03-21",8740400000
"2000-03-22",8418100000
"2000-03-23",8208400000
"2000-03-26",8237299999.999999
"2000-03-27",8380100000
"2000-03-28",8322400000
"2000-03-29",9120400000
"2000-03-30",8968400000
"2000-04-02",9254200000
"2000-04-03",9292200000
"2000-04-04",10394200000
"2000-04-05",10792500000
"2000-04-06",11476500000
"2000-04-09",11286500000
"2000-04-10",10736200000
"2000-04-11",11552500000
"2000-04-12",10792500000
"2000-04-13",10032500000
"2000-04-16",11040300000
"2000-04-17",12008500000
"2000-04-18",11438500000
"2000-04-19",11894500000
"2000-04-23",12312600000
"2000-04-24",13300600000
"2000-04-25",12502600000
"2000-04-26",12958600000
"2000-04-27",13300600000
"2000-04-30",13434400000
"2000-05-01",13604600000
"2000-05-02",13338600000
"2000-05-03",13680600000
"2000-05-04",13984600000
"2000-05-07",13490600000
"2000-05-08",12692600000
"2000-05-09",12151400000
"2000-05-10",13338600000
"2000-05-11",13025500000
"2000-05-14",12996600000
"2000-05-15",13452600000
"2000-05-16",13021400000
"2000-05-17",13251100000
"2000-05-18",12839100000
"2000-05-21",12332000000
"2000-05-22",11566000000
"2000-05-23",11135600000
"2000-05-24",10820000000
"2000-05-25",11336200000
"2000-05-29",13174600000
"2000-05-30",12505100000
"2000-05-31",12868200000
"2000-06-01",13807200000
"2000-06-04",13960400000
"2000-06-05",13825600000
"2000-06-06",13327700000
"2000-06-07",13347700000
"2000-06-08",13595800000
"2000-06-11",13098000000
"2000-06-12",13480900000
"2000-06-13",12829900000
"2000-06-14",12696600000
"2000-06-15",12638400000
"2000-06-18",14064600000
"2000-06-19",13978800000
"2000-06-20",14553300000
"2000-06-21",13978800000
"2000-06-22",13424300000
"2000-06-25",13366000000
"2000-06-26",12906500000
"2000-06-27",12361100000
"2000-06-28",11680900000
"2000-06-29",11834100000
"2000-07-02",12906500000
"2000-07-04",11527700000
"2000-07-05",11872400000
"2000-07-06",12561800000
"2000-07-09",13021400000
"2000-07-10",12791600000
"2000-07-11",12915700000
"2000-07-12",13098000000
"2000-07-13",13787300000
"2000-07-16",13978800000
"2000-07-17",13940500000
"2000-07-18",13825600000
"2000-07-19",13194500000
"2000-07-20",12275300000
"2000-07-23",11949000000
"2000-07-24",12063900000
"2000-07-25",11671700000
"2000-07-26",10723500000
"2000-07-27",10876700000
"2000-07-30",11029900000
"2000-07-31",10378800000
"2000-08-01",9574500000
"2000-08-02",10034100000
"2000-08-03",9612800000
"2000-08-06",9957500000
"2000-08-07",9383000000
"2000-08-08",9459600000
"2000-08-09",8732000000
"2000-08-10",8846900000
"2000-08-13",9651100000
"2000-08-14",9766000000
"2000-08-15",10162300000
"2000-08-16",10610900000
"2000-08-17",10941100000
"2000-08-20",10620200000
"2000-08-21",10727700000
"2000-08-22",10824300000
"2000-08-23",10883400000
"2000-08-24",10746400000
"2000-08-27",10746400000
"2000-08-28",10824300000
"2000-08-29",10902100000
"2000-08-30",11603000000
